id,nombre,lat,lon,provincia,tipo
albillos,Albillos,42.2768,-3.7891,Burgos,base
albinyana,Albinyana,41.25,1.4833,Tarragona,base
albires,Albires,42.2526,-5.2682,León,aldea
albite,Albite,42.9373,-8.8766,A Coruña,aldea
albixoi,Albixoi,43.0833,-8.2,A Coruña,aldea
albiz,Albiz,43.2605,-2.639,Bizkaia,aldea
albiztur,Albiztur,43.1293,-2.1365,Gipuzkoa,base
albizuelexaga,Albizuelexaga,43.1043,-2.8802,Bizkaia,aldea
albocabe,Albocabe,41.6534,-2.2225,Soria,aldea
albocasser,Albocàsser,40.35,0.0333,Castellón,base
albojarico,Albojarico,38.5929,-1.6342,Albacete,aldea
albolleque,Albolleque,40.5671,-3.2058,Guadalajara,aldea
alboloduy,Alboloduy,37.066,-2.6212,Almería,municipio
albolote,Albolote,37.2309,-3.6551,Granada,base
albondon,Albondón,36.8277,-3.2114,Granada,base
albons,Albons,42.1039,3.0843,Girona,base
alborache,Alborache,39.3833,-0.7667,Valencia,base
alboraya,Alboraya,39.5,-0.35,Valencia,base
alborea,Alborea,39.2833,-1.3833,Albacete,base
alboreda,Alboreda,42.6167,-9.0333,A Coruña,aldea
albores,Alborés,42.9833,-8.95,A Coruña,aldea
