indicativo,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,p_mes,p_max,hr,n_llu,n_nie,n_tor
B248,02,,,,,,,,,,,
B248,03,,,,,,,,,,,
B248,04,,,,,,,,,,,
B248,05,,,,,,,,,,,
B248,06,,,,,,,,,,,
B248,07,,,,,,,,,,,
B248,08,,,,,,,,,,,
B248,09,,,,,,,,,,,
B248,10,,,,,,,,,,,
B248,11,,,,,,,,,,,
B248,12,,,,,,,,,,,
B248,13,,,,,,,,,,,
B275E,01,,,,,,,,,,,
B275E,02,,,,,,,,,,,
B275E,03,,,,,,,,,,,
B275E,04,,,,,,,,,,,
B275E,05,,,,,,,,,,,
B275E,06,,,,,,,,,,,
B275E,07,,,,,,,,,,,
B275E,08,,,,,,,,,,,
B275E,09,,,,,,,,,,,
B275E,10,,,,,,,,,,,
B275E,11,,,,,,,,,,,
B275E,12,,,,,,,,,,,
B275E,13,,,,,,,,,,,
B278,01,,,,,,,,,,,
B278,02,,,,,,,,,,,
B278,03,,,,,,,,,,,
B278,04,,,,,,,,,,,
B278,05,,,,,,,,,,,
B278,06,,,,,,,,,,,
B278,07,,,,,,,,,,,
B278,08,,,,,,,,,,,
B278,09,,,,,,,,,,,
B278,10,,,,,,,,,,,
B278,11,,,,,,,,,,,
B278,12,,,,,,,,,,,
B278,13,,,,,,,,,,,
B301,01,,,,,,,,,,,
B301,02,,,,,,,,,,,
B301,03,,,,,,,,,,,
B301,04,,,,,,,,,,,
B301,05,,,,,,,,,,,
B301,06,,,,,,,,,,,
B301,07,,,,,,,,,,,
B301,08,,,,,,,,,,,
B301,09,,,,,,,,,,,
B301,10,,,,,,,,,,,
B301,11,,,,,,,,,,,
B301,12,,,,,,,,,,,
B301,13,,,,,,,,,,,
B334X,01,,,,,,,,,,,
B334X,02,,,,,,,,,,,
B334X,03,,,,,,,,,,,
B334X,04,,,,,,,,,,,
B334X,05,,,,,,,,,,,
B334X,06,,,,,,,,,,,
B334X,07,,,,,,,,,,,
B334X,08,,,,,,,,,,,
B334X,09,,,,,,,,,,,
B334X,10,,,,,,,,,,,
B334X,11,,,,,,,,,,,
B334X,12,,,,,,,,,,,
B334X,13,,,,,,,,,,,
B341X,01,,,,,,,,,,,
B341X,02,,,,,,,,,,,
B341X,03,,,,,,,,,,,
B341X,04,,,,,,,,,,,
B341X,05,,,,,,,,,,,
B341X,06,,,,,,,,,,,
B341X,07,,,,,,,,,,,
B341X,08,,,,,,,,,,,
B341X,09,,,,,,,,,,,
B341X,10,,,,,,,,,,,
B341X,11,,,,,,,,,,,
B341X,12,,,,,,,,,,,
B341X,13,,,,,,,,,,,
B346X,01,,,,,,,,,,,
B346X,02,,,,,,,,,,,
B346X,03,,,,,,,,,,,
B346X,04,,,,,,,,,,,
B346X,05,,,,,,,,,,,
B346X,06,,,,,,,,,,,
B346X,07,,,,,,,,,,,
B346X,08,,,,,,,,,,,
B346X,09,,,,,,,,,,,
B346X,10,,,,,,,,,,,
B346X,11,,,,,,,,,,,
B346X,12,,,,,,,,,,,
B346X,13,,,,,,,,,,,
B362X,01,,,,,,,,,,,
B362X,02,,,,,,,,,,,
B362X,03,,,,,,,,,,,
B362X,04,,,,,,,,,,,
B362X,05,,,,,,,,,,,
B362X,06,,,,,,,,,,,
B362X,07,,,,,,,,,,,
B362X,08,,,,,,,,,,,
B362X,09,,,,,,,,,,,
B362X,10,,,,,,,,,,,
B362X,11,,,,,,,,,,,
B362X,12,,,,,,,,,,,
B362X,13,,,,,,,,,,,
B373X,01,,,,,,,,,,,
B373X,02,,,,,,,,,,,
B373X,03,,,,,,,,,,,
B373X,04,,,,,,,,,,,
B373X,05,,,,,,,,,,,
B373X,06,,,,,,,,,,,
B373X,07,,,,,,,,,,,
B373X,08,,,,,,,,,,,
B373X,09,,,,,,,,,,,
B373X,10,,,,,,,,,,,
B373X,11,,,,,,,,,,,
B373X,12,,,,,,,,,,,
B373X,13,,,,,,,,,,,
B398A,01,,,,,,,,,,,
B398A,02,,,,,,,,,,,
B398A,03,,,,,,,,,,,
B398A,04,,,,,,,,,,,
B398A,05,,,,,,,,,,,
B398A,06,,,,,,,,,,,
B398A,07,,,,,,,,,,,
B398A,08,,,,,,,,,,,
B398A,09,,,,,,,,,,,
B398A,10,,,,,,,,,,,
B398A,11,,,,,,,,,,,
B398A,12,,,,,,,,,,,
B398A,13,,,,,,,,,,,
B410B,01,,,,,,,,,,,
B410B,02,,,,,,,,,,,
B410B,03,,,,,,,,,,,
B410B,04,,,,,,,,,,,
B410B,05,,,,,,,,,,,
B410B,06,,,,,,,,,,,
B410B,07,,,,,,,,,,,
B410B,08,,,,,,,,,,,
B410B,09,,,,,,,,,,,
B410B,10,,,,,,,,,,,
B410B,11,,,,,,,,,,,
B410B,12,,,,,,,,,,,
B410B,13,,,,,,,,,,,
B434X,01,,,,,,,,,,,
B434X,02,,,,,,,,,,,
B434X,03,,,,,,,,,,,
B434X,04,,,,,,,,,,,
B434X,05,,,,,,,,,,,
B434X,06,,,,,,,,,,,
B434X,07,,,,,,,,,,,
B434X,08,,,,,,,,,,,
B434X,09,,,,,,,,,,,
B434X,10,,,,,,,,,,,
B434X,11,,,,,,,,,,,
B434X,12,,,,,,,,,,,
B434X,13,,,,,,,,,,,
B496X,01,,,,,,,,,,,
B496X,02,,,,,,,,,,,
B496X,03,,,,,,,,,,,
B496X,04,,,,,,,,,,,
B496X,05,,,,,,,,,,,
B496X,06,,,,,,,,,,,
