indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
1496X,VIGO ,PONTEVEDRA,120,9,97.0,121,2017-18,81,97,30.0,15,41,74,13,0.0,0,9,0,71.0,2.8,0.3,2021-01-08,315,862
1505,LUGO AEROPUERTO,LUGO,442,9,140.0,148,2021-22,134,140,19.0,4,27,128,7,30.0,42,0,15,65.0,-3.6,-7.2,2019-01-06,508,1264
1518A,LUGO,LUGO,442,9,138.0,147,2018-19,132,142,17.0,4,28,114,9,20.0,33,0,14,62.0,-2.5,-5.7,2019-01-06,502,1257
1521I,O PÁRAMO,LUGO,403,9,138.0,145,2018-19,128,128,24.0,4,34,123,11,30.0,45,0,20,63.0,-3.7,-7.7,2019-01-05,495,1234
1521X,BECERREÁ,LUGO,1080,9,146.0,151,2018-19,141,146,2.0,0,4,151,2,24.0,65,0,16,61.0,-3.2,-5.9,2021-01-07,525,1318
1541B,VILLABLINO,LEON,958,8,149.5,151,2018-19,140,148,18.5,8,33,125,10,68.5,93,0,31,61.5,-7.2,-9.9,2018-03-22,482,1188
1542,PUERTO DE LEITARIEGOS,ASTURIAS,1530,7,151.0,151,2018-19,129,151,1.0,0,2,151,2,73.0,76,0,29,38.0,-7.3,-12.6,2021-01-07,399,1024
1549,PONFERRADA,LEON,532,9,144.0,149,2018-19,139,146,26.0,8,35,101,13,32.0,52,0,21,58.0,-5.1,-8.4,2021-01-09,502,1296
1561I,VEGA DE ESPINAREDA  ,LEON,770,9,150.0,151,2018-19,147,150,20.0,9,31,109,12,49.0,79,0,24,60.0,-5.7,-8.8,2021-01-08,537,1347
1583X,O BARCO DE VALDEORRAS,OURENSE,315,8,130.5,146,2018-19,114,131,23.0,16,30,102,16,18.0,34,0,21,42.5,-3.9,-6.5,2021-01-09,398,1050
1631E,A POBRA DE TRIVES,OURENSE,840,9,149.0,151,2018-19,145,147,7.0,1,15,142,9,33.0,55,0,20,63.0,-4.2,-7.8,2021-01-08,532,1337
1639X,CHANDREXA DE QUEIXA,OURENSE,990,9,148.0,151,2018-19,143,148,7.0,1,16,142,4,43.0,71,0,21,65.0,-5.3,-9.2,2021-01-08,530,1328
1658,FOLGOSO DO COUREL,LUGO,612,9,135.0,142,2019-20,119,140,16.0,4,29,83,10,24.0,35,0,14,57.0,-3.8,-8.4,2021-01-08,477,1207
1679A,MONFORTE DE LEMOS,LUGO,291,9,136.0,150,2021-22,129,138,34.0,12,45,76,13,33.0,47,0,22,45.0,-4.7,-7.5,2021-01-09,493,1235
1690A,OURENSE,OURENSE,146,9,129.0,140,2018-19,105,129,43.0,19,52,65,17,17.0,27,0,16,52.0,-2.8,-5.6,2021-01-09,434,1142
1696O,BEARIZ,OURENSE,610,9,144.0,150,2021-22,136,136,22.0,6,37,98,13,55.0,73,0,22,73.0,-5.6,-8.1,2023-03-02,533,1300
1700X,O CARBALLIÑO,OURENSE,400,9,137.0,144,2021-22,128,142,24.0,15,35,108,10,28.0,44,0,16,64.0,-3.0,-5.7,2023-03-02,495,1239
1701X,RIBADAVIA,OURENSE,112,9,127.0,141,2018-19,117,129,37.0,16,43,76,17,15.0,25,0,11,58.0,-2.5,-4.4,2018-02-24,450,1149
1706A,ALLARIZ,OURENSE,492,9,138.0,140,2025-26,122,140,24.0,10,36,109,12,31.0,46,0,20,58.0,-4.8,-8.4,2021-01-09,495,1225
1719,A CAÑIZA,PONTEVEDRA,560,9,140.0,147,2018-19,127,140,20.0,7,28,108,12,4.0,17,0,9,63.0,-1.1,-4.5,2021-01-09,481,1243
1723X,"PONTEAREAS, CANEDO   ",PONTEVEDRA,90,9,125.0,138,2021-22,99,126,43.0,22,58,67,17,17.0,26,0,12,62.0,-2.0,-4.8,2021-01-08,444,1118
1730E,O ROSAL,PONTEVEDRA,55,9,103.0,117,2021-22,84,108,35.0,22,46,75,14,3.0,10,1,3,65.0,-0.3,-2.3,2019-01-05,353,916
1735X,XINZO DE LIMIA,OURENSE,616,8,147.5,151,2021-22,143,148,12.5,5,20,113,10,55.0,83,0,35,60.0,-8.3,-11.5,2022-01-29,468,1182
1738U,MUIÑOS,OURENSE,730,9,145.0,149,2017-18,141,146,17.0,3,35,132,12,24.0,36,0,18,57.0,-4.3,-6.4,2021-01-08,518,1310
1740,"SANTILLANA DEL MAR, ALTAMIRA",CANTABRIA,150,9,119.0,137,2018-19,114,114,28.0,18,43,53,8,2.0,5,3,3,63.0,1.0,-2.6,2018-02-28,407,1101
2005Y,"VINUESA, QUINTANAREJO",SORIA,1197,9,151.0,151,2017-18,123,150,7.0,1,12,130,7,77.0,106,0,39,50.0,-6.2,-11.3,2021-01-08,537,1309
2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",SORIA,1260,9,151.0,152,2019-20,148,150,5.0,0,9,151,6,79.0,102,0,25,42.0,-6.8,-11.7,2021-01-04,544,1356
2030,SORIA,SORIA,1081,9,151.0,151,2017-18,147,149,13.0,7,22,125,10,52.0,76,0,23,40.0,-7.2,-11.1,2021-01-08,539,1351
2044B,LUBIA,SORIA,1100,9,149.0,151,2018-19,122,122,12.0,5,20,124,8,65.0,98,0,29,40.0,-7.6,-14.3,2021-01-11,518,1306
2048A,MORÓN DE ALMAZÁN,SORIA,978,9,151.0,152,2023-24,148,149,13.0,8,22,125,9,76.0,106,0,35,35.0,-11.1,-19.2,2021-01-11,546,1354
2059B,LA RIBA DE ESCALOTE,SORIA,1042,9,151.0,152,2023-24,143,143,10.0,1,13,147,8,56.0,89,0,29,32.0,-8.4,-16.7,2018-01-09,541,1347
2084Y,UCERO,SORIA,960,9,151.0,151,2017-18,150,150,10.0,2,18,132,9,84.0,109,0,36,46.0,-10.1,-16.1,2021-01-11,544,1356
2092,BURGO DE OSMA,SORIA,932,9,150.0,151,2017-18,143,148,13.0,6,22,125,9,74.0,95,0,34,45.0,-8.9,-17.9,2021-01-11,538,1344
2096B,LICERAS,SORIA,1150,9,151.0,151,2018-19,147,147,7.0,0,16,125,7,50.0,81,0,26,43.0,-6.1,-10.6,2021-01-08,540,1350
2106B,CORUÑA DEL CONDE,BURGOS,955,9,150.0,151,2017-18,148,149,9.0,2,13,143,8,50.0,84,0,23,41.0,-6.2,-11.0,2021-01-12,541,1350
2117D,ARANDA DE DUERO,BURGOS,790,9,150.0,151,2018-19,123,132,10.0,1,18,145,9,61.0,92,0,31,29.0,-8.1,-14.7,2021-01-12,525,1302
2135A,FRESNO DE CANTESPINO,SEGOVIA,993,9,150.0,151,2017-18,128,149,11.0,2,15,129,9,70.0,92,0,29,38.0,-8.8,-15.3,2018-01-09,515,1314
2140A,ALDEANUEVA DE SERREZUELA,SEGOVIA,1135,9,149.0,151,2018-19,136,136,5.0,1,8,144,6,37.0,69,0,23,45.0,-4.8,-7.9,2021-01-08,522,1321
2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",SEGOVIA,1798,7,150.0,151,2017-18,137,150,0.0,0,1,151,1,75.0,115,0,21,51.0,-8.8,-11.6,2018-02-23,408,1029
2166Y,PEÑAFIEL,VALLADOLID,756,9,148.0,151,2018-19,144,147,13.0,1,21,129,9,53.0,79,0,30,33.0,-7.2,-12.7,2021-01-13,528,1333
2172Y,SARDÓN DE DUERO,VALLADOLID,725,9,148.0,151,2017-18,134,148,26.0,10,38,123,11,70.0,100,0,35,35.0,-7.9,-11.8,2019-01-06,515,1320
2182C,PEDRAZA,SEGOVIA,1107,9,149.0,151,2018-19,146,149,8.0,2,17,131,8,46.0,73,0,21,46.0,-6.3,-10.3,2021-01-11,529,1340
2192C,CUÉLLAR,SEGOVIA,795,9,150.0,151,2017-18,149,149,23.0,10,38,124,11,89.0,116,0,37,42.0,-9.4,-16.2,2021-01-12,544,1352
2235U,CERVERA DE PISUERGA,PALENCIA,1140,8,151.0,152,2023-24,126,151,8.0,3,12,133,5,65.0,101,0,27,46.5,-5.7,-9.2,2023-01-31,469,1184
2243A,AGUILAR DE CAMPOO,PALENCIA,910,9,151.0,151,2018-19,145,150,8.0,1,15,143,5,69.0,100,0,36,38.0,-7.3,-11.0,2021-01-07,543,1349
2276B,VILLAELES DE VALDAVIA,PALENCIA,908,9,151.0,151,2017-18,122,150,5.0,1,9,142,5,72.0,111,0,36,39.0,-6.6,-9.4,2018-02-24,528,1325
2285B,VILLADIEGO,BURGOS,869,8,150.5,151,2018-19,127,150,9.0,4,16,133,7,40.5,58,0,27,31.0,-4.8,-8.2,2021-01-14,469,1176
2290Y,PEDROSA DEL PRÍNCIPE,BURGOS,771,9,149.0,151,2018-19,144,149,9.0,2,16,142,8,58.0,89,0,31,34.0,-7.4,-9.6,2018-02-24,532,1336
2296A,ÓLVEGA,SORIA,1039,9,151.0,151,2017-18,137,146,14.0,4,20,126,7,45.0,74,0,33,37.0,-6.1,-9.9,2023-02-24,540,1337
2298,PALACIOS DE LA SIERRA,BURGOS,1080,9,148.0,151,2017-18,122,122,8.0,2,18,134,8,76.0,102,0,29,48.0,-8.3,-14.9,2021-01-08,502,1278
2302N,MONTERRUBIO DE LA DEMANDA,BURGOS,1197,9,151.0,151,2017-18,122,146,4.0,0,6,151,5,75.0,103,0,41,52.0,-7.4,-11.3,2021-01-06,515,1322
2311Y,VILLAMAYOR DE LOS MONTES,BURGOS,884,9,148.0,151,2018-19,120,129,7.0,2,12,149,7,41.0,79,0,26,37.0,-5.4,-7.1,2017-12-06,481,1292
2331,BURGOS AEROPUERTO,BURGOS,891,9,150.0,151,2018-19,147,150,8.0,2,12,143,6,54.0,81,0,23,42.0,-6.5,-9.5,2019-02-04,539,1349
2362C,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA",PALENCIA,1575,8,151.0,152,2019-20,151,151,2.0,0,8,151,3,73.5,106,0,24,51.5,-7.1,-9.9,2018-02-27,488,1209
2374X,CARRIÓN DE LOS CONDES,PALENCIA,830,8,150.0,151,2017-18,123,123,7.5,1,13,142,7,60.5,97,0,31,34.5,-6.0,-9.0,2018-02-24,457,1166
2400E,AUTILLA DEL PINO,PALENCIA,874,9,151.0,151,2017-18,145,151,6.0,0,10,151,7,57.0,91,0,33,25.0,-6.6,-10.0,2023-02-24,537,1349
2401X,PALENCIA,PALENCIA,736,9,149.0,151,2018-19,146,149,11.0,1,18,140,7,47.0,83,0,31,35.0,-6.2,-8.3,2021-01-13,534,1341
2422,VALLADOLID,VALLADOLID,734,9,147.0,151,2018-19,144,147,13.0,1,21,134,8,33.0,63,0,22,36.0,-4.8,-6.7,2021-01-12,528,1334
2430Y,MUÑOTELLO,AVILA,1178,8,150.5,151,2018-19,146,149,7.0,3,9,129,4,46.5,68,0,27,43.5,-5.6,-8.9,2021-01-12,478,1198
2444,ÁVILA,AVILA,1130,9,150.0,151,2018-19,148,150,8.0,2,18,126,8,49.0,79,0,22,30.0,-6.8,-11.4,2018-01-09,539,1350
2453E,GOTARRENDURA,AVILA,920,9,149.0,151,2018-19,138,147,11.0,3,22,128,9,51.0,77,0,22,24.0,-8.6,-12.5,2021-01-10,518,1327
2456B,AREVALO,AVILA,820,9,148.0,151,2018-19,133,146,12.0,5,19,127,9,55.0,82,0,31,32.0,-7.7,-14.3,2021-01-12,512,1319
2462,PUERTO DE NAVACERRADA,MADRID,1892,9,151.0,152,2019-20,150,151,0.0,0,5,151,3,83.0,111,0,28,59.0,-9.1,-11.6,2023-02-28,548,1359
2465,SEGOVIA,SEGOVIA,1008,9,149.0,150,2018-19,144,149,11.0,2,18,129,9,34.0,60,0,18,40.0,-4.5,-8.0,2021-01-11,523,1331
2471Y,SAN RAFAEL,SEGOVIA,1237,9,151.0,151,2017-18,149,149,4.0,0,14,151,8,59.0,92,0,27,47.0,-7.5,-12.6,2021-01-12,543,1354
2482B,MIGUELAÑEZ,SEGOVIA,870,9,148.0,151,2018-19,133,147,14.0,3,18,128,9,42.0,70,0,25,31.0,-6.4,-13.5,2021-01-11,528,1317
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960,7,151.0,152,2019-20,148,148,0.0,0,0,152,0,85.0,107,0,27,53.0,-8.9,-11.3,2023-03-01,424,1054
2503B,"OLMEDO, DEPÓSITO DE AGUA",VALLADOLID,786,9,149.0,151,2018-19,143,143,11.0,4,26,124,8,46.0,77,0,27,36.0,-6.0,-12.9,2021-01-12,527,1337
2507Y,RUEDA,VALLADOLID,724,9,148.0,151,2017-18,143,149,13.0,1,20,134,10,46.0,76,0,23,34.0,-5.5,-9.1,2021-01-14,529,1333
2512Y,RIVILLA DE BARAJAS,AVILA,925,9,149.0,151,2018-19,125,147,8.0,1,10,129,7,39.0,62,0,19,34.0,-5.3,-9.7,2021-01-16,529,1318
2517A,FUENTE EL SOL,VALLADOLID,755,9,148.0,151,2018-19,142,146,19.0,10,34,100,10,54.0,79,0,24,29.0,-8.5,-14.3,2021-01-13,523,1329
2536D,MORALES DEL TORO,ZAMORA,710,9,149.0,151,2018-19,146,149,18.0,10,34,123,9,51.0,81,0,24,33.0,-5.7,-8.8,2021-01-14,533,1340
2539,VALLADOLID AEROPUERTO,VALLADOLID,846,9,150.0,151,2017-18,147,150,8.0,1,10,144,8,51.0,88,0,29,35.0,-6.1,-9.0,2021-01-12,536,1346
2555B,FUENTESAUCO,ZAMORA,811,9,149.0,151,2018-19,145,150,11.0,0,18,151,9,43.0,63,0,22,31.0,-6.2,-10.6,2021-01-17,534,1339
2565,CORESES,ZAMORA,702,5,148.0,151,2021-22,140,148,15.0,1,16,125,9,33.0,55,0,23,35.0,-4.5,-5.9,2025-01-15,288,733
2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN ",PALENCIA,985,9,151.0,151,2017-18,149,151,2.0,0,5,151,5,64.0,98,0,27,42.0,-6.5,-9.1,2026-01-05,544,1356
2593D,VILLALÓN DE CAMPOS,VALLADOLID,782,9,149.0,151,2017-18,145,148,12.0,3,18,129,8,54.0,91,0,31,29.0,-6.5,-9.9,2018-02-24,535,1340
2604B,MEDINA DE RIOSECO,VALLADOLID,731,9,149.0,151,2017-18,143,149,10.0,0,15,132,8,58.0,89,0,31,34.0,-7.0,-9.4,2018-02-23,534,1335
2611D,VILLAFÁFILA,ZAMORA,690,9,149.0,151,2018-19,143,146,10.0,3,17,136,8,58.0,86,0,31,28.0,-6.2,-8.9,2018-02-24,530,1335
2614,ZAMORA,ZAMORA,656,9,144.0,151,2021-22,137,144,15.0,3,25,134,10,31.0,59,0,22,35.0,-5.0,-6.8,2021-01-12,510,1296
2624C,RIAÑO,LEON,1090,9,150.0,151,2017-18,139,150,4.0,0,7,151,5,71.0,107,0,30,59.0,-7.5,-12.2,2017-12-06,544,1342
2626Y,CUBILLAS DE RUEDA,LEON,916,9,150.0,151,2017-18,143,150,5.0,1,9,142,7,78.0,111,0,33,38.0,-8.3,-11.0,2021-01-08,535,1337
2630X,PUERTO DE SAN ISIDRO,LEON,1510,6,151.0,152,2023-24,137,151,0.0,0,5,151,2,95.5,107,0,29,57.5,-7.2,-13.7,2021-01-07,348,888
2661,"LEÓN, VIRGEN DEL CAMINO",LEON,916,9,151.0,151,2018-19,148,151,7.0,3,12,132,7,48.0,82,0,22,40.0,-6.3,-8.1,2021-01-08,542,1351
2664B,VALENCIA DE DON JUAN,LEON,788,9,145.0,151,2021-22,134,134,7.0,0,16,151,8,51.0,74,0,31,28.0,-5.8,-9.1,2026-01-01,513,1306
2701D,"BARRIOS DE LUNA, MIÑERA",LEON,1120,9,150.0,151,2017-18,137,151,7.0,6,23,113,7,66.0,98,0,27,63.0,-6.0,-12.6,2021-01-07,533,1340
2728B,"QUINTANA DEL CASTILLO, VILLAMECA",LEON,995,9,150.0,151,2018-19,144,151,4.0,1,8,142,3,45.0,80,0,19,51.0,-4.4,-8.6,2021-01-08,535,1333
2734D,ASTORGA,LEON,919,7,150.0,151,2023-24,137,143,11.0,8,23,128,8,52.0,82,0,20,40.0,-6.2,-8.5,2021-01-08,424,1029
2737E,LAGUNAS DE SOMOZA,LEON,1020,8,151.0,151,2017-18,136,136,4.5,0,14,151,3,74.0,118,0,31,33.0,-7.5,-11.7,2021-01-08,471,1192
2742R,BUSTILLO DEL PÁRAMO,LEON,850,9,150.0,151,2018-19,149,149,7.0,1,14,143,8,57.0,84,0,31,40.0,-6.5,-8.7,2021-01-15,543,1350
2755X,BENAVENTE,ZAMORA,715,9,148.0,151,2021-22,137,137,13.0,2,17,145,10,43.0,63,0,30,27.0,-5.3,-7.1,2021-01-12,524,1316
2766E,"SANABRIA, ROBLEDA-CERVANTES",ZAMORA,933,9,149.0,151,2020-21,144,151,9.0,1,18,129,7,80.0,116,0,36,47.0,-10.8,-12.9,2021-01-08,534,1339
2775X,VILLARDECIERVOS,ZAMORA,850,9,150.0,151,2018-19,120,120,10.0,5,19,129,7,61.0,92,0,30,43.0,-8.9,-10.7,2021-01-07,513,1300
2777K,SANTIBAÑEZ DE VIDRIALES,ZAMORA,737,9,149.0,151,2018-19,145,147,10.0,1,17,143,7,62.0,93,0,25,35.0,-6.7,-9.8,2018-02-24,528,1334
2789H,POZUELO DE TABARA,ZAMORA,711,7,148.0,151,2018-19,139,147,8.0,0,15,151,4,49.0,72,0,24,35.0,-6.8,-9.7,2021-01-12,418,1031
2804F,VILLADEPERA,ZAMORA,790,9,149.0,151,2018-19,140,150,8.0,0,13,151,5,31.0,59,0,19,35.0,-4.9,-7.7,2021-01-14,530,1327
2828Y,BARCO DE AVILA,AVILA,1012,9,150.0,151,2018-19,149,149,11.0,4,30,131,9,64.0,98,0,33,38.0,-7.7,-13.1,2018-01-09,540,1351
2847X,PEDROSILLO DE LOS AIRES   ,SALAMANCA,865,8,149.5,151,2017-18,147,148,9.5,3,17,130,7,60.5,91,0,31,28.0,-6.8,-10.5,2025-01-15,479,1194
2863C,PEDRAZA DE ALBA  ,SALAMANCA,897,8,150.0,151,2021-22,147,148,10.0,3,13,131,7,61.0,85,0,30,37.0,-6.5,-11.2,2018-01-08,478,1196
2867,SALAMANCA AEROPUERTO,SALAMANCA,790,9,150.0,151,2018-19,148,149,18.0,7,29,123,9,59.0,92,0,22,35.0,-7.8,-11.9,2021-01-12,539,1348
2870,SALAMANCA,SALAMANCA,775,9,148.0,151,2018-19,141,148,21.0,8,36,124,10,31.0,60,0,20,33.0,-4.3,-8.0,2021-01-12,521,1323
2873X,BARBADILLO,SALAMANCA,817,9,148.0,151,2017-18,137,148,12.0,4,18,129,8,57.0,86,0,22,35.0,-7.2,-11.9,2021-01-12,522,1320
2882D,PEÑAUSENDE,ZAMORA,1003,8,140.0,143,2024-25,118,143,7.0,1,19,132,5,24.0,36,0,13,34.0,-3.2,-5.9,2022-01-22,423,1082
2885K,FRESNO DE SAYAGO,ZAMORA,804,8,150.0,151,2018-19,147,150,13.0,5,22,124,5,53.0,91,0,30,37.5,-7.8,-10.9,2021-01-11,481,1198
2891A,VILLARINO DE LOS AIRES,SALAMANCA,690,9,146.0,151,2021-22,136,147,20.0,12,33,124,11,27.0,58,0,19,39.0,-5.6,-7.0,2021-01-17,515,1311
2914C,BOADILLA FUENTE SAN ESTEBAN,SALAMANCA,785,9,148.0,151,2018-19,118,118,11.0,4,13,130,7,39.0,68,0,23,36.0,-5.4,-8.0,2025-01-15,512,1302
2916A,VITIGUDINO,SALAMANCA,769,9,148.0,151,2018-19,129,129,18.0,8,33,119,10,40.0,61,0,20,40.0,-5.4,-6.6,2021-01-12,510,1301
2918Y,EL MAÍLLO,SALAMANCA,1027,9,147.0,151,2018-19,134,147,8.0,1,16,131,8,28.0,59,0,18,42.0,-3.8,-6.1,2021-01-05,518,1313
2926B,BAÑOBÁREZ,SALAMANCA,748,8,146.5,151,2018-19,135,141,10.0,3,23,116,9,40.0,55,0,22,38.5,-4.4,-7.4,2025-01-15,467,1162
2930Y,NAVASFRÍAS,SALAMANCA,880,9,148.0,151,2021-22,122,149,7.0,1,21,132,6,64.0,101,0,37,43.0,-7.6,-10.1,2018-02-08,524,1309
2945A,EL BODÓN BASE AÉREA,SALAMANCA,805,8,146.5,151,2018-19,135,146,9.5,1,12,132,8,38.5,73,0,21,36.5,-5.2,-7.5,2018-02-24,452,1169
2946X,SAELICES EL CHICO,SALAMANCA,680,9,147.0,151,2018-19,141,146,17.0,10,36,124,10,36.0,67,0,19,33.0,-5.3,-8.0,2018-02-24,521,1321
2966D,ALCAÑICES  ,ZAMORA,840,9,149.0,151,2018-19,141,151,13.0,7,17,127,7,41.0,69,0,20,45.0,-5.7,-8.7,2021-01-17,531,1334
2969U,A GUDIÑA,OURENSE,910,9,146.0,151,2018-19,137,137,7.0,0,15,131,8,22.0,52,0,16,69.0,-3.4,-6.1,2021-01-07,517,1318
2978X,VERÍN,OURENSE,380,9,142.0,149,2021-22,127,143,28.0,14,43,93,13,46.0,75,0,23,49.0,-7.2,-9.5,2021-01-08,488,1270
3013,MOLINA DE ARAGÓN,GUADALAJARA,1062,9,151.0,151,2017-18,150,150,16.0,1,26,150,12,89.0,107,0,32,31.0,-12.9,-25.2,2021-01-12,545,1356
3021Y,ZAOREJAS,GUADALAJARA,1250,7,149.0,152,2023-24,145,149,7.0,2,15,128,9,64.0,84,0,28,40.0,-6.2,-11.0,2026-01-07,416,1039
3044X,CAÑIZARES,CUENCA,928,5,148.0,150,2019-20,120,120,24.0,17,38,56,11,66.0,94,0,20,38.0,-5.8,-11.6,2021-01-12,280,688
3085Y,PASTRANA,GUADALAJARA,920,6,149.5,151,2018-19,133,149,17.0,8,26,100,10,30.5,59,0,14,37.5,-4.4,-6.5,2026-01-06,341,868
3094B,TARANCÓN,CUENCA,819,7,139.0,149,2018-19,121,136,24.0,15,41,75,11,11.0,32,0,20,25.0,-3.8,-8.5,2021-01-12,355,974
3099Y,OCAÑA,TOLEDO,733,9,145.0,150,2021-22,129,134,18.0,5,28,97,12,30.0,40,0,21,30.0,-6.3,-14.5,2021-01-12,508,1286
3100B,ARANJUEZ,MADRID,540,9,141.0,149,2021-22,115,115,30.0,15,41,100,13,46.0,70,0,26,30.0,-6.2,-11.2,2021-01-14,471,1249
3103,PANTANO EL VADO,GUADALAJARA,910,9,150.0,151,2020-21,149,150,14.0,6,26,125,10,42.0,54,0,22,40.0,-4.4,-8.8,2021-01-11,542,1349
3104Y,RASCAFRÍA,MADRID,1159,9,151.0,151,2017-18,145,151,16.0,9,32,100,10,81.0,109,0,34,56.0,-8.6,-12.9,2021-01-11,540,1350
3110C,BUITRAGO DEL LOZOYA,MADRID,1030,6,149.5,151,2020-21,121,150,10.0,5,20,114,8,45.5,62,0,22,38.0,-5.6,-11.3,2021-01-12,324,855
3111D,SOMOSIERRA,MADRID,1450,6,148.5,151,2022-23,136,149,1.0,0,7,148,4,64.5,79,0,20,56.0,-6.3,-9.0,2026-01-05,354,875
3125Y,SAN SEBASTIÁN DE LOS REYES,MADRID,672,7,141.0,147,2020-21,117,146,25.0,20,37,96,13,15.0,29,0,19,33.0,-4.2,-9.6,2021-01-12,383,971
3126Y,"MADRID, EL GOLOSO",MADRID,740,9,147.0,149,2021-22,123,149,12.0,2,21,114,12,34.0,56,0,24,29.0,-5.6,-12.9,2021-01-12,522,1291
3129,MADRID AEROPUERTO,MADRID,609,9,146.0,149,2020-21,136,146,24.0,12,36,125,13,35.0,56,0,21,31.0,-7.7,-13.4,2021-01-12,507,1303
3130C,SIGÜENZA,GUADALAJARA,1005,9,150.0,150,2019-20,130,130,12.0,6,22,98,9,83.0,101,0,44,34.0,-10.2,-16.8,2021-01-12,525,1322
3140Y,MANDAYONA,GUADALAJARA,990,8,149.5,151,2021-22,123,150,13.0,7,27,100,10,41.0,54,0,25,31.5,-5.8,-10.3,2021-01-12,438,1156
3168D,GUADALAJARA,GUADALAJARA,727,9,146.0,149,2018-19,139,145,23.0,13,32,100,13,27.0,40,0,22,31.0,-4.3,-10.6,2021-01-12,512,1309
3170Y,ALCALA DE HENARES,MADRID,605,9,148.0,150,2024-25,137,145,27.0,17,39,96,13,46.0,74,0,28,29.0,-8.2,-14.3,2021-01-12,516,1309
3175,TORREJÓN DE ARDOZ,MADRID,607,9,148.0,149,2017-18,144,145,24.0,11,35,127,13,44.0,63,0,24,30.0,-7.1,-13.7,2021-01-12,519,1322
3182Y,ARGANDA DEL REY,MADRID,533,9,142.0,149,2024-25,122,144,30.0,18,43,100,14,36.0,61,0,24,25.0,-7.9,-15.8,2021-01-12,498,1263
3191E,COLMENAR VIEJO,MADRID,1004,9,146.0,151,2021-22,137,149,6.0,2,9,146,7,11.0,33,0,15,36.0,-2.2,-7.0,2025-01-19,508,1313
3194Y,POZUELO DE ALARCÓN,MADRID,665,9,147.0,151,2017-18,143,147,26.0,18,37,100,13,48.0,74,0,30,35.0,-6.6,-12.6,2021-01-12,522,1321
3195,"MADRID, RETIRO",MADRID,667,8,140.0,146,2017-18,125,138,16.0,3,27,143,13,6.5,20,0,15,31.0,-2.0,-7.4,2021-01-12,402,1106
3196,"MADRID, CUATRO VIENTOS",MADRID,690,9,142.0,149,2021-22,137,144,20.0,15,32,100,13,11.0,23,0,18,28.0,-3.3,-13.0,2021-01-12,485,1285
3200,GETAFE,MADRID,620,9,141.0,149,2021-22,136,144,21.0,15,38,110,13,20.0,28,0,19,29.0,-5.3,-12.0,2021-01-12,485,1281
3209Y,BRIHUEGA,GUADALAJARA,835,9,150.0,151,2021-22,127,150,13.0,6,24,124,10,55.0,75,0,24,37.0,-6.6,-11.5,2021-01-12,540,1325
3229Y,TIELMES,MADRID,594,8,146.5,149,2018-19,136,145,22.5,8,32,100,13,43.0,71,0,24,30.0,-5.8,-7.7,2019-01-11,452,1153
3245Y,TEMBLEQUE,TOLEDO,635,9,146.0,150,2017-18,142,146,27.0,11,43,122,13,56.0,84,0,27,27.0,-9.5,-13.6,2021-01-12,517,1317
3254Y,MORA,TOLEDO,717,9,143.0,150,2021-22,120,147,29.0,14,44,100,13,26.0,36,0,19,24.0,-5.5,-11.0,2021-01-12,474,1264
3260B,TOLEDO,TOLEDO,513,9,137.0,148,2017-18,130,144,34.0,19,48,98,24,22.0,32,0,24,31.0,-6.7,-13.4,2021-01-12,469,1239
3266A,PUERTO ALTO DEL LEÓN,MADRID,1532,8,149.0,151,2024-25,132,150,0.0,0,3,151,2,69.0,108,0,37,43.5,-7.4,-9.9,2018-02-08,480,1173
3268C,ALPEDRETE,MADRID,924,9,147.0,150,2021-22,133,147,22.0,12,38,100,9,23.0,38,0,11,37.0,-2.8,-7.8,2021-01-12,508,1300
3305Y,NAVAHERMOSA,TOLEDO,750,9,143.0,149,2021-22,116,144,27.0,19,37,100,11,21.0,33,0,15,29.0,-4.3,-8.7,2021-01-12,492,1235
3319D,PUERTO DEL PICO,AVILA,1285,9,151.0,152,2023-24,135,151,3.0,2,13,132,5,98.0,121,0,35,41.0,-10.4,-16.5,2021-01-12,535,1339
3330Y,ROZAS DE PUERTO REAL,MADRID,890,8,147.0,151,2017-18,141,149,7.0,2,14,129,8,14.5,29,0,12,39.5,-2.8,-5.0,2021-01-12,462,1174
3337U,CEBREROS,AVILA,850,9,143.0,151,2021-22,118,131,17.0,10,32,95,12,13.0,27,0,11,35.0,-2.3,-5.8,2021-01-06,477,1267
3338,ROBLEDO DE CHAVELA,MADRID,770,6,145.0,150,2017-18,126,137,15.5,7,19,128,10,22.0,36,0,18,21.5,-4.2,-8.7,2021-01-12,321,851
