rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmin_media_verano,noches_trop_anio,noches_ecua_anio,tmin_tendencia,tmin_esperada,residual,score_refugio_noche
141,1124E,VILLACARRIEDO,CANTABRIA,196.000,43.246,-3.849,10.000,14.543,0.600,0.000,0.139,15.651,-1.108,-1.967
142,9814X,TORLA - ORDESA,HUESCA,1076.000,42.638,-0.112,9.000,12.986,0.000,0.000,0.118,13.597,-0.611,-1.963
143,1152C,SAN FELICES DE BUELNA,CANTABRIA,105.000,43.272,-4.049,10.000,14.974,1.200,0.000,0.131,15.956,-0.981,-1.958
144,8005X,FONTANARS DELS ALFORINS,VALENCIA,622.000,38.780,-0.796,10.000,15.716,5.000,0.000,0.169,17.774,-2.058,-1.952
145,2172Y,SARDÓN DE DUERO,VALLADOLID,725.000,41.612,-4.406,10.000,11.684,0.100,0.000,0.206,14.190,-2.506,-1.951
146,8492X,ATZENETA DEL MAESTRAT,CASTELLON,420.000,40.227,-0.170,10.000,16.451,6.800,0.000,0.138,17.960,-1.509,-1.948
147,1249I,OVIEDO,ASTURIAS,336.000,43.353,-5.874,6.000,14.727,0.333,0.000,0.067,14.227,0.500,-1.934
148,2873X,BARBADILLO,SALAMANCA,817.000,40.904,-5.780,10.000,12.545,0.200,0.000,0.146,13.734,-1.189,-1.930
149,1679A,MONFORTE DE LEMOS,LUGO,291.000,42.532,-7.511,10.000,13.627,0.100,0.000,0.125,14.342,-0.714,-1.924
150,2059B,LA RIBA DE ESCALOTE,SORIA,1042.000,41.350,-2.783,10.000,12.754,2.200,0.000,0.124,13.579,-0.825,-1.913
151,1706A,ALLARIZ,OURENSE,492.000,42.183,-7.796,10.000,12.922,0.200,0.000,0.123,13.586,-0.663,-1.910
152,1276F,POLA DE SOMIEDO,ASTURIAS,670.000,43.100,-6.257,10.000,11.787,0.000,0.000,0.140,12.797,-1.009,-1.909
153,9188,ENCISO,LA RIOJA,855.000,42.149,-2.273,10.000,12.899,0.700,0.000,0.146,14.070,-1.171,-1.908
154,9031C,BRIVIESCA,BURGOS,730.000,42.559,-3.309,10.000,12.510,0.000,0.000,0.161,13.969,-1.459,-1.908
155,0106X,BALSARENY,BARCELONA,361.000,41.866,1.873,10.000,15.725,3.100,0.000,0.186,17.926,-2.201,-1.899
156,0421E,ESPOLLA 'LES ALBERES',GIRONA,100.000,42.390,3.006,8.000,18.574,25.375,0.375,0.039,19.144,-0.570,-1.895
157,2374X,CARRIÓN DE LOS CONDES,PALENCIA,830.000,42.351,-4.617,10.000,12.028,0.400,0.000,0.150,13.185,-1.157,-1.851
158,9843A,SEIRA,HUESCA,825.000,42.477,0.434,10.000,13.448,0.000,0.000,0.169,14.991,-1.543,-1.850
159,4554X,CARTAYA,HUELVA,15.000,37.218,-7.084,10.000,17.184,9.900,0.100,0.154,19.084,-1.900,-1.844
160,0222X,CALDES DE MONTBUI,BARCELONA,175.000,41.613,2.168,10.000,17.918,16.600,0.000,0.096,19.004,-1.086,-1.823
161,2626Y,CUBILLAS DE RUEDA,LEON,916.000,42.620,-5.193,10.000,10.356,0.200,0.000,0.197,12.427,-2.071,-1.798
162,8368U,TERUEL,TERUEL,902.000,40.351,-1.124,10.000,14.120,0.900,0.000,0.160,15.436,-1.316,-1.796
163,3391,SOTILLO DE LA ADRADA,AVILA,630.000,40.289,-4.591,8.000,18.623,17.500,1.375,-0.104,15.377,3.246,-1.786
164,1021X,"ERRENTERIA, AÑARBE",GIPUZKOA,165.000,43.214,-1.879,10.000,15.407,2.400,0.000,0.149,16.533,-1.126,-1.763
165,B341X,PORRERES,BALEARES,149.000,39.506,3.006,5.000,20.555,49.600,1.000,-0.047,20.769,-0.214,-1.763
166,9069C,MIRANDA DE EBRO,BURGOS,460.000,42.687,-2.961,10.000,13.691,0.500,0.000,0.172,15.189,-1.497,-1.762
167,5459X,ESPIEL,CORDOBA,465.000,38.111,-4.929,10.000,16.056,4.900,0.000,0.150,17.357,-1.300,-1.753
168,1074C,AMOREBIETA-ETXANO,BIZKAIA,100.000,43.203,-2.706,10.000,15.329,1.900,0.000,0.154,16.517,-1.188,-1.753
169,1038X,AZPEITIA,GIPUZKOA,180.000,43.172,-2.267,10.000,15.575,2.400,0.000,0.134,16.351,-0.777,-1.751
170,9354X,ALHAMA DE ARAGON,ZARAGOZA,703.000,41.293,-1.895,10.000,14.727,2.800,0.000,0.129,15.415,-0.688,-1.738
171,1468X,A ESTRADA,PONTEVEDRA,269.000,42.694,-8.502,10.000,14.112,0.300,0.000,0.099,13.968,0.144,-1.731
172,9374X,SANTA EULALIA DEL CAMPO,TERUEL,1000.000,40.567,-1.321,10.000,13.407,0.600,0.000,0.170,14.801,-1.394,-1.730
173,2166Y,PEÑAFIEL,VALLADOLID,756.000,41.593,-4.125,10.000,13.154,0.800,0.000,0.153,14.171,-1.017,-1.709
174,0320I,PLANOLES,GIRONA,1151.000,42.317,2.103,10.000,12.770,0.100,0.000,0.179,14.294,-1.524,-1.706
175,1048X,ARETXABALETA,GIPUZKOA,308.000,43.025,-2.466,10.000,14.345,1.200,0.000,0.173,15.816,-1.471,-1.701
176,9262,PAMPLONA,NAVARRA,450.000,42.818,-1.638,9.000,16.049,5.111,0.222,0.074,15.637,0.412,-1.688
177,C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,733.000,28.675,-17.937,10.000,16.998,15.700,4.900,0.078,17.404,-0.407,-1.684
178,C319W,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,190.000,28.054,-17.306,10.000,18.971,22.400,0.600,0.103,20.390,-1.419,-1.684
179,1341B,"TARAMUNDI, OURIA",ASTURIAS,340.000,43.416,-7.061,9.000,13.922,0.111,0.000,0.101,13.732,0.190,-1.682
180,1010X,BERA,NAVARRA,54.000,43.279,-1.676,10.000,15.882,4.000,0.000,0.152,17.049,-1.167,-1.679
181,5704B,CAZALLA DE LA SIERRA,SEVILLA,550.000,37.926,-5.770,10.000,15.401,4.200,0.000,0.162,16.795,-1.394,-1.676
182,C648N,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,344.000,27.988,-15.458,10.000,19.214,22.400,5.000,0.096,20.446,-1.232,-1.667
