indicativo,nombre,provincia,altitud_m,anios,noches_trop_peor_anio,peor_anio,noches_trop_mejor_anio,noches_trop_ultimo_anio,noches_trop_anio_medio,racha_max_historica,racha_max_en_un_anio,noches_ecua_peor_anio,tmin_p95,peor_noche,peor_noche_fecha,noche_mas_fria,noches_fuera_jja_anio
0016A,REUS AEROPUERTO,TARRAGONA,71.0,9,77,2025,36,77,52.8,64,23,3,23.3,25.7,2018-08-08,-5.3,5.4
5995B,VEJER DE LA FRONTERA,CADIZ,183.0,9,78,2020,31,65,50.1,34,34,7,23.0,27.4,2025-08-17,2.8,11.7
B957,EIVISSA,BALEARES,3.0,9,79,2025,53,79,70.0,50,44,6,23.9,28.1,2017-08-02,-0.6,13.1
B780X,PORT DE POLLENÇA,BALEARES,2.0,9,79,2022,48,73,61.0,52,34,5,24.2,27.0,2018-08-05,0.1,9.6
5783,SEVILLA AEROPUERTO,SEVILLA,34.0,9,79,2025,37,79,54.9,32,32,7,23.6,28.1,2022-07-25,-1.5,9.4
C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",LAS PALMAS,960.0,9,80,2020,39,54,58.1,30,30,25,26.1,33.6,2023-08-11,4.8,17.1
B334X,LLUCMAJOR,BALEARES,140.0,9,81,2022,44,64,59.2,34,34,3,23.4,26.5,2019-07-08,-0.2,8.3
8293X,XÀTIVA,VALENCIA,88.0,8,82,2022,54,76,65.5,40,40,3,23.5,25.9,2022-07-27,-2.9,9.8
6069X,BENAHAVÍS,MALAGA,392.0,9,82,2025,43,82,59.1,56,51,4,23.5,29.2,2022-07-26,0.2,6.0
C328W,HERMIGUA,STA. CRUZ DE TENERIFE,252.0,9,82,2023,19,39,40.4,11,11,1,21.4,25.6,2025-09-20,8.2,20.2
7026X,TORRE-PACHECO,MURCIA,50.0,9,82,2025,44,82,64.0,50,37,4,23.4,26.0,2023-07-13,-0.7,11.3
5279X,LINARES,JAEN,515.0,9,83,2025,45,83,64.3,29,29,16,24.6,29.1,2021-08-14,-3.8,8.8
6201X,ALGARROBO,MALAGA,35.0,9,83,2025,42,83,59.1,50,50,2,23.6,26.2,2023-08-03,2.0,10.1
C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",LAS PALMAS,806.0,9,84,2020,35,53,62.6,27,27,37,27.0,35.5,2023-08-11,6.6,24.0
6058I,ESTEPONA,MALAGA,19.0,8,84,2025,52,84,65.6,39,39,6,23.7,26.4,2023-07-20,4.3,17.9
8325X,POLINYÀ DE XÚQUER,VALENCIA,11.0,8,85,2025,58,85,67.4,37,37,3,23.4,25.5,2021-08-15,-0.6,9.9
6057X,MANILVA,MALAGA,140.0,8,85,2023,59,75,71.6,40,40,3,23.4,28.3,2022-07-26,3.1,14.6
C319W,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,190.0,9,85,2023,17,52,41.4,17,17,3,23.5,29.4,2023-08-12,9.6,19.1
6127X,ÁLORA,MALAGA,172.0,8,85,2025,60,85,69.6,41,41,10,23.7,28.9,2020-08-02,1.6,10.5
7158X,ARCHENA,MURCIA,150.0,9,85,2025,46,85,67.3,41,39,7,23.9,26.6,2023-08-03,0.3,10.9
5281X,BAILÉN,JAEN,345.0,7,86,2025,45,86,69.1,50,50,12,24.5,27.5,2023-08-10,-2.8,8.4
7211B,PUERTO LUMBRERAS,MURCIA,445.0,9,86,2025,54,86,69.4,72,64,5,23.4,27.3,2024-08-01,-0.6,7.7
0385X,L'ESTARTIT,GIRONA,1.0,8,86,2022,57,74,67.5,63,46,4,23.5,27.1,2018-08-05,-1.8,6.6
7228,"ALCANTARILLA, BASE AÉREA",MURCIA,75.0,9,86,2025,40,86,67.6,43,43,5,24.0,26.9,2019-07-07,-3.8,10.2
5038Y,CAZORLA,JAEN,799.0,9,86,2025,42,86,60.3,39,39,14,24.3,29.1,2025-08-18,-4.9,6.0
B893,"MENORCA, AEROPUERTO",BALEARES,91.0,9,87,2022,46,46,62.6,30,30,9,24.2,28.8,2022-09-14,-0.6,12.4
C648C,AGÜIMES,LAS PALMAS,306.0,9,87,2023,25,51,55.1,21,21,26,26.1,34.1,2023-08-12,8.9,23.7
9981A,ESTACIÓN DE TORTOSA (ROQUETES),TARRAGONA,50.0,9,87,2025,52,87,66.4,67,39,3,23.7,26.8,2018-08-05,-1.7,7.2
7244X,ORIHUELA,ALICANTE,26.0,9,87,2025,52,87,72.2,40,40,8,24.0,26.5,2022-08-13,-2.4,12.4
6076X,"MARBELLA, PUERTO",MALAGA,2.0,8,87,2023,48,65,66.8,40,40,7,23.9,26.6,2022-08-13,3.9,16.8
0281Y,BLANES,GIRONA,45.0,9,88,2022,62,78,73.8,52,45,6,24.3,27.9,2018-08-04,-1.1,10.4
6293X,ROQUETAS DE MAR,ALMERIA,3.0,5,88,2025,56,88,66.0,34,28,5,23.5,26.2,2025-07-09,0.8,16.2
5270B,JAÉN,JAEN,580.0,9,88,2025,52,88,68.8,50,50,19,25.0,30.1,2021-08-13,-3.5,10.9
