indicativo,temporada,nombre,provincia,altitud,dias_tmin,dias_tmax,noches_calefaccion,noches_frias,heladas,heladas_fuertes,calefaccion_nucleo,heladas_nucleo,dias_terraza,dias_terraza_20,dias_lluvia,racha_terraza,racha_sin_terraza,racha_heladas,tmin_p05,tmin_min,tmin_min_fecha,tmax_max,tmax_max_fecha
0120X,2020-21,MOIÀ,BARCELONA,742,145,145,143,80,21,4,84,20,8,3,22,4,77,11,-2.4,-5.6,2021-01-06,23.1,2020-11-02
0120X,2021-22,MOIÀ,BARCELONA,742,151,151,151,104,22,2,90,19,4,2,21,2,60,9,-1.2,-3.7,2022-01-22,20.8,2022-02-18
0120X,2022-23,MOIÀ,BARCELONA,742,150,150,135,82,29,8,89,25,26,15,17,4,47,16,-3.1,-4.7,2023-01-22,23.4,2023-03-29
0120X,2023-24,MOIÀ,BARCELONA,742,152,152,144,88,7,0,91,7,21,13,23,7,64,3,0.2,-2.9,2024-01-13,23.8,2024-03-22
0120X,2024-25,MOIÀ,BARCELONA,742,151,151,143,88,10,0,90,9,9,1,34,3,121,3,-0.2,-2.4,2025-01-13,22.3,2025-03-31
0120X,2025-26,MOIÀ,BARCELONA,742,137,137,134,78,12,2,78,8,11,0,30,6,69,3,-0.9,-5.9,2026-01-07,19.9,2026-02-24
0149D,2017-18,MANRESA (LA CULLA),BARCELONA,291,151,151,148,125,57,12,90,39,17,6,21,5,41,14,-3.6,-5.5,2017-12-02,22.9,2018-03-10
0149D,2018-19,MANRESA (LA CULLA),BARCELONA,291,151,151,147,116,35,8,90,34,40,22,16,13,93,15,-3.2,-4.8,2019-01-11,25.9,2019-03-16
0149D,2019-20,MANRESA (LA CULLA),BARCELONA,291,152,152,144,95,21,1,89,15,31,10,20,5,48,7,-1.5,-3.2,2020-01-12,24.7,2020-03-12
0149D,2020-21,MANRESA (LA CULLA),BARCELONA,291,151,151,146,94,23,7,89,17,38,13,19,11,70,5,-2.9,-5.2,2021-01-06,25.4,2020-11-02
0149D,2022-23,MANRESA (LA CULLA),BARCELONA,291,151,151,138,97,39,8,90,32,52,37,13,17,47,11,-3.1,-6.0,2023-01-21,27.2,2023-03-30
0149D,2023-24,MANRESA (LA CULLA),BARCELONA,291,152,152,145,93,26,6,90,24,53,31,18,13,26,8,-2.7,-4.1,2023-12-28,26.4,2024-03-22
0149D,2024-25,MANRESA (LA CULLA),BARCELONA,291,120,120,108,57,12,0,57,12,21,3,27,9,42,4,-1.8,-2.8,2024-12-31,25.4,2025-03-31
0149X,2017-18,MANRESA,BARCELONA,291,150,150,148,128,64,18,90,45,17,6,22,5,41,14,-3.6,-5.8,2017-12-04,23.1,2018-03-10
0149X,2018-19,MANRESA,BARCELONA,291,151,151,148,123,41,8,90,38,39,23,16,13,93,16,-3.4,-5.0,2019-01-11,26.0,2019-03-16
0149X,2019-20,MANRESA,BARCELONA,291,152,152,147,97,26,2,91,17,30,10,18,5,48,8,-1.7,-3.2,2020-01-12,24.6,2020-03-12
0149X,2020-21,MANRESA,BARCELONA,291,147,147,143,95,29,8,85,23,36,13,19,11,37,6,-3.1,-5.3,2021-01-06,25.5,2020-11-02
0149X,2021-22,MANRESA,BARCELONA,291,149,149,146,113,47,18,89,43,15,6,11,2,50,20,-4.2,-6.2,2022-01-16,24.4,2022-02-18
0149X,2022-23,MANRESA,BARCELONA,291,148,148,137,98,43,12,87,34,52,37,12,17,46,18,-3.3,-6.0,2023-01-21,27.2,2023-03-30
0149X,2023-24,MANRESA,BARCELONA,291,151,151,145,93,27,6,91,24,51,30,19,13,48,8,-2.4,-4.4,2024-01-09,26.2,2024-03-22
0149X,2024-25,MANRESA,BARCELONA,291,151,151,139,88,24,5,88,24,22,3,27,9,52,7,-2.5,-5.8,2025-01-14,25.2,2025-03-31
0149X,2025-26,MANRESA,BARCELONA,291,151,151,146,96,21,2,88,12,33,10,34,5,64,4,-1.0,-4.7,2026-01-07,22.8,2026-02-24
0158O,2017-18,MONTSERRAT,BARCELONA,738,151,151,146,104,15,0,89,15,1,0,25,1,147,5,-1.2,-3.0,2017-12-02,18.0,2018-03-28
0158O,2018-19,MONTSERRAT,BARCELONA,738,151,151,138,77,5,0,85,5,6,1,17,2,118,2,0.2,-3.0,2019-02-04,20.0,2019-03-16
0158O,2019-20,MONTSERRAT,BARCELONA,738,148,150,141,70,4,0,90,3,2,1,23,1,115,2,0.2,-1.0,2020-01-05,20.0,2020-03-12
0158O,2020-21,MONTSERRAT,BARCELONA,738,150,150,141,68,24,5,88,23,2,2,21,2,102,17,-2.7,-5.2,2021-01-12,22.0,2020-11-02
0158O,2021-22,MONTSERRAT,BARCELONA,738,151,151,146,87,9,1,86,6,4,2,18,2,61,3,-0.2,-3.1,2022-01-22,21.9,2022-01-02
0158O,2022-23,MONTSERRAT,BARCELONA,738,151,151,125,63,20,6,85,18,10,3,14,3,75,11,-2.2,-4.2,2023-01-30,21.2,2023-03-30
0158O,2023-24,MONTSERRAT,BARCELONA,738,141,141,117,61,3,0,74,3,11,4,19,3,40,2,1.1,-1.8,2024-01-13,21.0,2024-03-17
0158O,2024-25,MONTSERRAT,BARCELONA,738,151,151,141,68,5,0,90,4,1,1,28,1,150,2,0.1,-1.4,2025-01-03,20.8,2025-03-31
0158O,2025-26,MONTSERRAT,BARCELONA,738,151,151,143,72,11,3,88,9,2,1,38,1,114,4,-0.2,-6.7,2026-01-07,20.0,2026-02-24
0158X,2017-18,MONISTROL DE MONTSERRAT,BARCELONA,738,151,151,146,104,26,6,89,24,1,0,25,1,147,8,-2.2,-4.4,2018-02-13,18.3,2018-03-28
0158X,2018-19,MONISTROL DE MONTSERRAT,BARCELONA,738,151,151,141,78,10,1,87,10,6,1,18,2,118,3,-0.8,-3.2,2019-02-04,20.5,2019-03-16
0158X,2019-20,MONISTROL DE MONTSERRAT,BARCELONA,738,152,152,144,67,3,0,89,1,3,1,23,1,92,1,1.0,-0.6,2019-11-17,20.6,2020-03-12
0158X,2020-21,MONISTROL DE MONTSERRAT,BARCELONA,738,151,151,139,67,21,5,88,21,3,2,22,2,147,14,-2.5,-5.0,2021-01-12,21.8,2020-11-02
0158X,2021-22,MONISTROL DE MONTSERRAT,BARCELONA,738,149,149,141,77,6,0,83,4,5,2,18,3,50,2,0.0,-2.9,2022-01-22,21.9,2022-01-02
0158X,2022-23,MONISTROL DE MONTSERRAT,BARCELONA,738,149,149,122,61,18,2,83,17,11,4,14,3,75,11,-2.1,-3.9,2023-01-30,21.5,2023-03-30
0158X,2023-24,MONISTROL DE MONTSERRAT,BARCELONA,738,152,152,128,64,3,0,85,3,12,4,18,3,66,2,1.7,-1.5,2024-01-13,21.4,2024-03-17
0158X,2024-25,MONISTROL DE MONTSERRAT,BARCELONA,738,151,151,140,60,6,0,90,5,1,1,29,1,150,2,0.3,-1.2,2025-01-03,21.1,2025-03-31
0158X,2025-26,MONISTROL DE MONTSERRAT,BARCELONA,738,149,149,140,63,6,2,88,6,2,0,38,1,81,4,0.1,-6.1,2026-01-07,19.6,2026-02-24
0171X,2017-18,IGUALADA,BARCELONA,313,149,149,143,116,31,1,84,26,20,6,20,5,39,6,-1.8,-3.1,2018-02-09,22.1,2018-03-10
